codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint
70001;706;CASALECCHIO AUTOSTRADA;VIA PORRETTANA 476;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.471783, 11.272085
70002;856;CASALECCHIO AUTOSTRADA;VIA PORRETTANA 371;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.472391, 11.27231
70002;826;CASALECCHIO AUTOSTRADA;VIA PORRETTANA 371;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.472391, 11.27231
70002;92;CASALECCHIO AUTOSTRADA;VIA PORRETTANA 371;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.472391, 11.27231
70005;826;CASALECCHIO CIMABUE;VIA PORRETTANA 516;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.466291, 11.269421
70006;706;CASALECCHIO CIMABUE;VIA PORRETTANA 385/3;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.467853, 11.270525
70006;92;CASALECCHIO CIMABUE;VIA PORRETTANA 385/3;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.467853, 11.270525
70008;85;CASALECCHIO DUSE;VIA DUSE FR 8;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.461109, 11.271935
70009;856;SAN BIAGIO FIORINA;VIA PORRETTANA FR VIA DUSE;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.460892, 11.270632
70010;826;SAN BIAGIO FIORINA;VIA PORRETTANA 419;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.460613, 11.270608
70013;826;SAN BIAGIO;VIA PORRETTANA FR BV DELLA RESISTENZA;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.455385, 11.270041
70014;856;SAN BIAGIO;VIA PORRETTANA BV DELLA RESISTENZA;CASALECCHIO DI RENO;507;FUORI BOLOGNA;44.455041, 11.270593
70017;706;BORGONUOVO;VIA PORRETTANA 40;BORGONUOVO;581;FUORI BOLOGNA;44.444051, 11.271412
70017;856;BORGONUOVO;VIA PORRETTANA 40;BORGONUOVO;581;FUORI BOLOGNA;44.444051, 11.271412
70018;856;BORGONUOVO;VIA PORRETTANA FR 42/5;BORGONUOVO;581;FUORI BOLOGNA;44.443608, 11.27147
70018;706;BORGONUOVO;VIA PORRETTANA FR 42/5;BORGONUOVO;581;FUORI BOLOGNA;44.443608, 11.27147
70018;92;BORGONUOVO;VIA PORRETTANA FR 42/5;BORGONUOVO;581;FUORI BOLOGNA;44.443608, 11.27147
70018;826;BORGONUOVO;VIA PORRETTANA FR 42/5;BORGONUOVO;581;FUORI BOLOGNA;44.443608, 11.27147
70021;826;BORGONUOVO ALTOPIANO;VIA PORRETTANA 62;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.438515, 11.2718
70021;706;BORGONUOVO ALTOPIANO;VIA PORRETTANA 62;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.438515, 11.2718
70021;856;BORGONUOVO ALTOPIANO;VIA PORRETTANA 62;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.438515, 11.2718
70022;92;BORGONUOVO ALTOPIANO;VIA PORRETTANA 47;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.437068, 11.272146
70022;856;BORGONUOVO ALTOPIANO;VIA PORRETTANA 47;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.437068, 11.272146
70022;706;BORGONUOVO ALTOPIANO;VIA PORRETTANA 47;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.437068, 11.272146
70025;92;MUSEO MARCONI;VIA PORRETTANA 68;PONTECCHIO MARCONI;581;FUORI BOLOGNA;44.431392, 11.269627
